OBJECTID,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
"132","FLG","Flagstaff, Arizona","1 East Route 66","","Flagstaff","AZ","86001-5530","RAIL","04"
"133","FLN","Flint, Michigan","1407 South Dort Highway","","Flint","MI","48503-2878","RAIL","26"
"134","FLO","Florence, South Carolina","805 East Day Street","","Florence","SC","29506","RAIL","45"
"135","FMD","Fort Madison, Iowa","1601 20th Street","","Fort Madison","IA","52627","RAIL","19"
"136","FMG","Fort Morgan, Colorado","South Ensign St and Main St","","Fort Morgan","CO","80701","RAIL","08"
"137","FMT","Fremont (Trains, Capitol Buses), California","37260 Fremont Blvd.","","Fremont","CA","94536","RAIL","06"
"138","FNO","Fresno, California","2650 Tulare St.","Santa Fe Station","Fresno","CA","93721-1325","RAIL","06"
"139","FOX","Foxwoods Casino, Connecticut","39 Norwich Westerley Rd.","Foxwoods Resort Casino","Ledyard","CT","06339-1128","BUS","09"
"140","FRA","Framingham, Massachusetts","417 Waverly St.","Intersection Route 126 at Route 135","Framingham","MA","01702-6948","RAIL","25"
"141","FRO","Florence, Oregon","290 US Highway 101","2nd Street and US 101, east side","Florence","OR","97439","BUS","41"
"143","FSC","Frisco, Colorado","1010 Meadow Drive","Frisco Transfer Center","Frisco","CO","80443","BUS","08"
"144","FTA","Fortuna, California","719 South Fortuna Blvd","Pepper's Restaurant","Fortuna","CA","95540","BUS","06"
"145","FTC","Ticonderoga, New York","NYS Hwy 74 and Sandy Redoubt","near Lake Champlain Ferry","Ticonderoga","NY","12883","RAIL","36"
"146","FTL","Fort Lauderdale, Florida","200 S.W. 21 Terrace","","Fort Lauderdale","FL","33312","RAIL","12"
"147","FTM","Fort Myers, Florida","6050 Plaza Drive","Fort Myers Travel Plaza, I-75 exit 139","Fort Myers","FL","33906-4419","BUS","12"
"148","FTN","Fulton, Kentucky","21 Newton Rd.","","Fulton","KY","42041","RAIL","21"
"149","FTW","Fort Worth, Texas","1001 Jones Street","","Fort Worth","TX","76102","RAIL","48"
"150","FUL","Fullerton, California","120 East Santa Fe Avenue","Fullerton Transportation Center","Fullerton","CA","92832","RAIL","06"
"151","GAC","Santa Clara (Great America), California","5099 Stars & Stripes Dr.","Under Tasman Dr. overpass","Santa Clara","CA","95054","RAIL","06"
"152","GAS","Gastonia, North Carolina","350 Hancock Street","","Gastonia","NC","28054","RAIL","37"
"153","GBB","Galesburg, Illinois","225 South Seminary Street","Amtrak Union Station","Galesburg","IL","61401","RAIL","17"
"155","GBV","Garberville, California","924 Redwood Drive","Waterwheel Restaurant","Garberville","CA","95542","BUS","06"
"156","GCB","Grand Canyon (Buses), Arizona","Maswik Lodge","","Grand Canyon National Park","AZ","86023","BUS","04"
"157","GCK","Garden City, Kansas","100 North 7th Street","1 block south of 7th & Fulton (Bus Highway 50)","Garden City","KS","67846-5547","RAIL","20"
"158","GCN","Grand Canyon (Railway), Arizona","Grand Canyon Railway Station","downhill from Bright Angel Lodge","Grand Canyon National Park","AZ","86023","OTHER","04"
"159","GDL","Glendale, California","400 West Cerritos Avenue","Glendale Transportation Center","Glendale","CA","91204","RAIL","06"
"160","GFK","Grand Forks, North Dakota","5555 DeMers Avenue","","Grand Forks","ND","58201","RAIL","38"
"161","GFV","Greenfield Village, Michigan","20900 Oakwood Blvd.","Group travel only - not a regular stop","Dearborn","MI","48216","RAIL","26"
"162","GGW","Glasgow, Montana","424 1st Avenue South","","Glasgow","MT","59230-2396","RAIL","30"
"163","GHT","Gearhart, Oregon","4320 Highway 101, North","Gearhart Builders Supply Store","Gearhart","OR","97301","BUS","41"
"164","GJT","Grand Junction, Colorado","339 South 1st Street","","Grand Junction","CO","81501-2207","RAIL","08"
"165","GLE","Gainesville, Texas","605 East California Street","","Gainesville","TX","76240","RAIL","48"
"166","GLM","Gilman, Illinois","US Hwy 24 & West Wenona St.","","Gilman","IL","60983","RAIL","17"
"167","GLN","Glenview, Illinois","1116 Depot St.","","Glenview","IL","60025","RAIL","17"
"168","GLP","Gallup, New Mexico","201 East Highway 66","(Amtrak shares space with Indian Museum)","Gallup","NM","87301","RAIL","35"
"169","GLS","Galveston (Texas Eagle Bus), Texas","25th St. and Strand St.","The Railroad Museum","Galveston","TX","77550","BUS","48"
"171","GLY","Gilroy, California","7250 Monterey Street","Caltrain Station","Gilroy","CA","95020","BUS","06"
"173","GNB","Greensburg, Pennsylvania","Harrison Ave. and Seton Hill Dr.","","Greensburg","PA","15601","RAIL","42"
"174","GNF","Gainesville, Florida","201 East University Ave.","","Gainesville","FL","32601-5457","BUS","12"
"175","GNS","Gainesville, Georgia","116 Industrial Boulevard","","Gainesville","GA","30501","RAIL","13"
"176","GPK","East Glacier Park, Montana","400 Highway 49 North","","East Glacier Park","MT","59434","RAIL","30"
"177","GRA","Granby, Colorado","438 Railroad Avenue","","Granby","CO","80446","RAIL","08"
"178","GRI","Green River, Utah","250 South Broadway","@ RR Tracks and Airport Rd.","Green River","UT","84525","RAIL","49"
"179","GRO","Greensboro, North Carolina","236 East Washington Street","Galyon Transportation Center","Greensboro","NC","27401-2704","RAIL","37"
"180","GRR","Grand Rapids, Michigan","431 Wealthy St. SW","near Market and Wealthy Sts. SW","Grand Rapids","MI","49503-4061","RAIL","26"
"181","GRS","Grass Valley, California","125 E. Main Street","City Hall","Grass Valley","CA","95945","BUS","06"
"182","GRV","Greenville, South Carolina","1120 West Washington Street","near Downtown Greenville","Greenville","SC","29601","RAIL","45"
"183","GSC","Glenwood Springs, Colorado","413 7th Street","","Glenwood Springs","CO","81601","RAIL","08"
"184","GSN","Goshen Junction, California","30435 Road 68","Greyhound Bus Stop","Visalia","CA","93227-9585","BUS","06"
"185","GTA","Goleta, California","25 South La Patera Lane","","Goleta","CA","93117","RAIL","06"
"186","GUA","Guadalupe, California","330 Guadalupe Street","Highway-1","Guadalupe","CA","93434","RAIL","06"
"188","GVB","Grover Beach, California","180 West Grand Avenue","","Grover Beach","CA","93433-1968","RAIL","06"
"189","GVI","Grangeville, Idaho","901 West Main (Highway 95)","ZIP TRIP","Grangeville","ID","83530","BUS","16"
"190","GWD","Greenwood, Mississippi","Carrolton Ave. and East Gibbs Street","506 Carrolton Ave.?","Greenwood","MS","38930","RAIL","28"
"191","HAM","Hamlet, North Carolina","West Main St. and North Bridges St.","","Hamlet","NC","28345","RAIL","37"
"192","HAR","Harrisburg, Pennsylvania","4th and Chestnut Streets","","Harrisburg","PA","17101","RAIL","42"
"193","HAS","Hastings, Nebraska","501 West First St.","","Hastings","NE","68901","RAIL","31"
"194","HAV","Havre, Montana","235 Main Street","","Havre","MT","59501-3599","RAIL","30"
"195","HAY","Hayward, California","22555 Meekland Avenue","Amtrak Rail & Thruway Bus Station","Hayward","CA","94541","RAIL","06"
"196","HAZ","Hazlehurst, Mississippi","North Ragsdale Ave and East Conway St.","","Hazlehurst","MS","39083","RAIL","28"
"197","HBG","Hattiesburg, Mississippi","308 Newman St.","308 Newman St.","Hattiesburg","MS","39401","RAIL","28"
"198","HEA","Healdsburg (Singletree Inn), California","165 Healdsburg Ave.","","Healdsburg","CA","95448-4000","BUS","06"
"199","HEM","Hermann, Missouri","Wharf & Gutenberg Sts.","","Herman","MO","65041","RAIL","29"
"200","HER","Helper, Utah","1 Depot Street","","Helper","UT","84526","RAIL","49"
"201","HET","Hemet (West Florida Ave), California","3246 West Florida Avenue","Coco's Restaurant","Hemet","CA","92545-3622","BUS","06"
"202","HFD","Hartford, Connecticut","One Union Place","","Hartford","CT","06103","RAIL","09"
"203","HFY","Harpers Ferry, West Virginia","Potomac St. & Shenandoah St.","station 1/4 mi (400 m) north","Harpers Ferry","WV","25425","RAIL","54"
"204","HGD","Huntingdon, Pennsylvania","Fourth and Allegheny Sts.","","Huntingdon","PA","16652","RAIL","42"
"205","HGN","Harlingen, Texas","215 E. Monroe Ave.","","Harlingen","TX","78550-5519","BUS","48"
"206","HHL","Haverhill, Massachusetts","Washington Street at Railroad Square","","Haverhill","MA","01832-5418","RAIL","25"
"207","HIN","Hinton, West Virginia","Front St. and Fifth Ave.","","Hinton","WV","25951","RAIL","54"
"208","HLD","Holdrege, Nebraska","100 West Ave.","","Holdrege","NE","68949","RAIL","31"
"209","HMD","Hammond, Louisiana","404 N.E. Railroad Ave.","","Hammond","LA","70401","RAIL","22"
"210","HMI","Hammond-Whiting, Indiana","1135 South Calumet Ave.","","Hammond","IN","46320-1044","RAIL","18"
"211","HMT","Hemet (Devonshire Ave), California","308 East Devonshire Avenue","Simpson Senior Center","Hemet","CA","92543-2906","BUS","06"
"212","HMW","Homewood, Illinois","18015 Park Ave.","","Homewood","IL","60430","RAIL","17"
"213","HNF","Hanford, California","200 Santa Fe Avenue #A","","Hanford","CA","93230-4554","RAIL","06"
"214","HOL","Hollywood, Florida","3001 Hollywood Blvd","","Hollywood","FL","33021","RAIL","12"
"215","HOM","Holland, Michigan","171 Lincoln Ave.","","Holland","MI","49423","RAIL","26"
"216","HOO","Hood River, Oregon","600 E. Marina Way","Greyhound Station","Hood River","OR","97031","BUS","41"
"217","HOS","Houston, Texas","902 Washington Ave.","","Houston","TX","77002","RAIL","48"
"218","HPT","High Point, North Carolina","100 West High St","","High Point","NC","27260","RAIL","37"
"219","HTN","Hammonton, New Jersey","Egg Harbor Rd & Line St.","New Jersey Transit Station","Hammonton","NJ","08037","OTHER","34"
"220","HUD","Hudson, New York","69 South Front St.","","Hudson","NY","12534","RAIL","36"
"221","KTC","Kettleman City, California","3300 Hubert Way","I-5 & Hwy 41 (Carl's Jr Restaurant)","Kettleman City","CA","93239","BUS","06"
"222","KTR","Kingstree, South Carolina","101 East Main St.","","Kingstree","SC","29556-3425","RAIL","45"
"223","KWD","Kirkwood, Missouri","110 West Argonne Dr.","","Kirkwood","MO","63122-4202","RAIL","29"
"224","LAB","Latrobe, Pennsylvania","329 McKinley Ave","","Latrobe","PA","15650","RAIL","42"
"225","LAE","La Grande, Oregon","63276 Oregon Highway 203","Flying J Plaza","La Grande","OR","97850","BUS","41"
"226","LAF","Lafayette, Indiana","200 North 2nd St.","","Lafayette","IN","47901-1238","RAIL","18"
"227","LAG","La Grange, Illinois","25 West Burlington St.","","La Grange","IL","60525","RAIL","17"
"228","LAJ","La Junta, Colorado","1 West First St.","","La Junta","CO","81050","RAIL","08"
"229","LAK","Lakeland, Florida","600 East Main Street","","Lakeland","FL","33801-5036","RAIL","12"
"230","LAP","La Plata, Missouri","535 N. Owensby St.","R.R. #1","La Plata","MO","63549","RAIL","29"
"231","LAS","Las Vegas International Airport, Nevada","5757 Wayne Newton Blvd","McCarran International Airport","Las Vegas","NV","89111-5000","BUS","32"
"232","LAU","Laurel, Mississippi","230 North Maple Street","","Laurel","MS","39440","RAIL","28"
"233","LAX","Los Angeles, California","800 North Alameda Street","Los Angeles Union Passenger Terminal","Los Angeles","CA","90012-2902","RAIL","06"
"234","LBC","Long Beach, California","601 North Long Beach Blvd.","Denny's Restaurant","Long Beach","CA","90802-1323","BUS","06"
"236","LCA","La Crescenta, California","Honolulu & Lowell Avenue","Near I-210","La Crescenta","CA","91214","BUS","06"
"237","LCH","Lake Charles, Louisiana","100 Ryan Street","","Lake Charles","LA","70601-2152","RAIL","22"
"238","LCN","Lincoln, Illinois","Broadway and North Chicago Sts.","","Lincoln","IL","62656","RAIL","17"
"239","LCR","Las Cruces, New Mexico","304 Wyatt Drive","","Las Cruces","NM","88005","BUS","35"
"240","LCS","Lancaster, California","44812 Sierra Highway","Metrolink Station","Lancaster","CA","93534-3218","BUS","06"
"241","LCV","Lincolnville, Maine","2512 Atlantic Highway","US Post Office","Lincolnville","ME","04849","BUS","23"
"242","LDB","Lordsburg, New Mexico","Center St. and S.P. Blvd.","","Lordsburg","NM","88045","RAIL","35"
"243","LDW","Lindenwold, New Jersey","Station Ave & White Horse Rd West","NJ Transit/PATCO station","Somerdale","NJ","08083","OTHER","34"
"245","LEE","Lees Summit, Missouri","217 SW Main St.","","Lees Summit","MO","64063","RAIL","29"
"246","LEG","Leggett, California","69501 Highway 101 North","Price's Peg House","Leggett","CA","95585-8911","BUS","06"
"247","LEV","Leavenworth, Washington","Hwy 2 and 12th St.","Link Transit Park & Ride","Leavenworth","WA","98826","BUS","53"
"248","LEW","Lewistown, Pennsylvania","150 Helen Street","","Lewistown","PA","17044","RAIL","42"
"249","LEX","Lexington, North Carolina (Special Stop)","Center St. and railroad tracks","Lexington Barbecue Festival","Lexington","NC","27292","RAIL","37"
"250","LFT","Lafayette, Louisiana","133 East Grant St.","100 Lee Street","Lafayette","LA","70501","RAIL","22"
"252","LGM","Longmont, Colorado","623 Main St.","Martha Martin Business Center","Longmont","CO","80501-4994","BUS","08"
"253","LIB","Libby, Montana","100 Mineral Avenue","","Libby","MT","59923-1933","RAIL","30"
"254","LIV","Livermore, California","2500 Railroad Avenue","(Near 1st Street)","Livermore","CA","94550-3011","BUS","06"
"255","LKL","Lakeland, Florida","600 East Main Street","","Lakeland","FL","33801-5036","RAIL","12"
"256","LMC","Lemoore, California","300 E Street","Chamber of Commerce","Lemoore","CA","93245-3663","BUS","06"
"257","LMN","Lemoore (Naval Air Station), California","25th Ave and Highway 198","","Lemoore","CA","93245","BUS","06"
"259","LMR","Lamar, Colorado","Main & Beach Streets","","Lamar","CO","81052","RAIL","08"
"260","LMY","Lamy, New Mexico","Santa Fe County Road 33","152 Old Lamy Trail","Lamy","NM","87540","RAIL","35"
"261","LNC","Lancaster, Pennsylvania","53 McGovern Avenue","","Lancaster","PA","17602","RAIL","42"
"262","LNK","Lincoln, Nebraska","201 North 7th St.","","Lincoln","NE","68508","RAIL","31"
"263","LNN","Lincoln, New Hampshire","Main and Franklin Sts.","Munce's Konvenience Store/Shell Station","Lincoln","NH","03251","BUS","33"
"264","LNS","East Lansing, Michigan","1240 South Harrison Road","","East Lansing","MI","48823-5223","RAIL","26"
"265","LNV","Laughlin, Nevada","2121 S. Casino Dr.","Tropicana Express Hotel & Casino","Laughlin","NV","89029-1519","BUS","32"
"266","LOD","Lodi, California","24 South Sacramento Street","","Lodi","CA","95240","RAIL","06"
"267","LOM","Lompoc, California","111 South I Street","Lompoc Visitor's Center","Lompoc","CA","93436","BUS","06"
"268","LOR","Lorton (Auto Train), Virginia","8006 Lorton Road","","Lorton","VA","22079","RAIL","51"
"269","LPD","Lake Placid, New York","1 Mirror Lake Drive","Hilton Hotel","Lake Placid","NY","12946-1105","BUS","36"
"270","LPE","Lapeer, Michigan","73 Howard St.","","Lapeer","MI","48446-2515","RAIL","26"
"271","LPN","La Pine, Oregon","16515 Reed Road","Shell Station","La Pine","OR","97739","BUS","41"
"272","LPS","Lompoc-Surf, California","Ocean Ave and Park Rd","","Surf","CA","93437","RAIL","06"
"273","LRC","Lawrence, Kansas","413 East 7th Street","","Lawrence","KS","66044","RAIL","20"
"274","LRK","Little Rock, Arkansas","1400 West Markham Street","","Little Rock","AR","72201","RAIL","05"
"275","LSE","LaCrosse, Wisconsin","St. Andrew and Caledonia Streets","601 St. Andrew Street","La Crosse","WI","54601","RAIL","55"
"276","LSV","Las Vegas, New Mexico","Railroad & Lincoln Streets","","Las Vegas","NM","87701","RAIL","35"
"277","LTL","Littleton, New Hampshire","336 Cottage St.","Irving Gas Station","Littleton","NH","03561-4118","BUS","33"
"278","LTR","Littlerock, California","7715 Pearblossom Hwy","Come & Save Market","Littlerock","CA","93543-3038","BUS","06"
"279","LTV","Laytonville, California","44900 Highway 101","Park N Takit Market","Laytonville","CA","95454","BUS","06"
"280","LVL","Louisville, Kentucky","720 West Muhammad Ali Blvd.","Greyhound Station","Louisville","KY","40203-1917","BUS","21"
"281","ABE","Aberdeen, Maryland","18 East Bel Air Ave.","","Aberdeen","MD","21001-3701","RAIL","24"
"282","ABN","Absecon, New Jersey","Shore Road and Ohio Ave","","Absecon","NJ","08201","OTHER","34"
"283","ABQ","Albuquerque, New Mexico","320 First Street SW","","Albuquerque","NM","87102","RAIL","35"
"284","ACA","Antioch-Pittsburg, California","100 I Street","","Antioch","CA","94509-1122","RAIL","06"
"285","ACY","Atlantic City, New Jersey","1 Atlantic City Expressway","New Jersey Transit Station","Atlantic City","NJ","08401-4106","OTHER","34"
"287","ADM","Ardmore, Oklahoma","251 East Main St.","","Ardmore","OK","73401-7016","RAIL","40"
"288","AHL","Ashland, Oregon","585 Siskiyou Blvd","Safeway Market","Ashland","OR","97520","BUS","41"
"289","AKY","Ashland, Kentucky","99 15th Street","","Ashland","KY","41101","RAIL","21"
"290","ALB","Albany/Rensselaer, New York","525 East St.","","Rensselaer","NY","12144-2310","RAIL","36"
"291","ALC","Alliance, Ohio","820 East Main Street","","Alliance","OH","44601","RAIL","39"
"292","ALD","Alderson, West Virginia","1 C&O Plaza on Railroad Plaza","","Alderson","WV","24910","RAIL","54"
"293","ALI","Albion, Michigan","300 North Eaton St.","","Albion","MI","49224","RAIL","26"
"294","ALN","Alton, Illinois","3400 College Ave.","","Alton","IL","62002-5000","RAIL","17"
"295","ALP","Alpine, Texas","102 West Holland Ave.","","Alpine","TX","79830","RAIL","48"
"296","ALT","Altoona, Pennsylvania","1231 11th Avenue","","Altoona","PA","16601","RAIL","42"
"297","ALX","Alexandria, Virginia","110 Callahan Drive","","Alexandria","VA","22301-2752","RAIL","51"
"298","ALY","Albany, Oregon","110 10th Ave SW","","Albany","OR","97321-2457","RAIL","41"
"299","AMM","Amherst, Massachusetts","13 Railroad St.","","Amherst","MA","01002-2318","RAIL","25"
"300","AMS","Amsterdam, New York","Railroad St. & West Main Ave.","Route 5 West","Amsterdam","NY","12010","RAIL","36"
"301","ANA","Anaheim, California","2150 East Katella Avenue","","Anaheim","CA","92806","RAIL","06"
"302","APP","Appleton, Wisconsin","100 East Washington St.","Appleton Transit Center","Appleton","WI","54911-5448","BUS","55"
"303","ARB","Ann Arbor, Michigan","325 Depot Street","","Ann Arbor","MI","48104","RAIL","26"
"304","ARC","Arcata (Transit Center), California","925 E Street","Transit Center","Arcata","CA","95521-6239","BUS","06"
"305","ARD","Ardmore, Pennsylvania","Station Road and Lancaster Ave.","","Ardmore","PA","19003","RAIL","42"
"307","ARK","Arkadelphia, Arkansas","798 South 5th St.","","Arkadelphia","AR","71923-6237","RAIL","05"
"308","ARN","Auburn, California","277 Nevada St. at Fulweiler St.","","Auburn","CA","95603","RAIL","06"
"309","ART","Astoria, Oregon (Buses-Transit Center)","900 Marine Drive","Astoria Intermodal Terminal","Astoria","OR","97103","BUS","41"
"310","ASD","Ashland, Virginia","112 North Railroad Avenue","","Ashland","VA","23005","RAIL","51"
"311","ATA","Atascadero, California","6910 El Camino Real","Denny's Restaurant","Atascadero","CA","93422","BUS","06"
"312","ATL","Atlanta, Georgia","1688 Peachtree Street, NW","intersection of Deering Road","Atlanta","GA","30309","RAIL","13"
"313","ATN","Anniston, Alabama","126 West 4th St","","Anniston","AL","36201","RAIL","01"
"314","ATO","Atco, New Jersey","Cooper Rd and Raritan Ave","New Jersey Transit station","Atco","NJ","08004","OTHER","34"
"316","AUS","Austin, Texas","250 North Lamar Blvd.","","Austin","TX","78703","RAIL","48"
"317","BAK","Baker City, Oregon","515 Campbell Street","Baker Truck Corral","Baker City","OR","97814","BUS","41"
"318","BAL","Baltimore (Penn Station), Maryland","1515 North Charles Street","Penn Station","Baltimore","MD","21201-5893","RAIL","24"
"319","BAM","Bangor, Michigan","541 Railroad St.","","Bangor","MI","49013-1464","RAIL","26"
"320","BAN","Bangor, Maine","1039 Union St.","Bangor Transportation Center","Bangor","ME","04401-3011","BUS","23"
"321","BAR","Barstow (Amtrak), California","685 North First Avenue","","Barstow","CA","92311","RAIL","06"
"323","BAT","Bath, Maine","10 State Rd","Mail It 4 U - Suite 9, Coastal Plaza","Bath","ME","04530-6018","BUS","23"
"324","BBY","Boston (Back Bay), Massachusetts","145 Dartmouth St.","","Boston","MA","02116-5162","RAIL","25"
"325","BDT","Bradenton, Florida","1115 Manatee Avenue West","Manatee County Courthouse","Bradenton","FL","34205-7803","BUS","12"
"327","BEL","Bellingham, Washington","401 Harris Avenue","","Bellingham","WA","98225","RAIL","53"
"328","BEN","Benson, Arizona","105 E. 4th Street","","Benson","AZ","85602-6611","RAIL","04"
"329","BER","Berlin, Connecticut","51 Depot Road","","Kensington","CT","06037","RAIL","09"
"330","BET","South Beloit, Illinois","15766 Manchester Road","McDonald?s/BP Amoco Travel Plaza","South Beloit","IL","61080-9723","BUS","17"
"332","BFD","Bakersfield, California","601 Truxtun Ave","Off Truxtun Ave and S Street","Bakersfield","CA","93301-5319","RAIL","06"
"333","BFT","Belfast, Maine","Belmont Ave & US Hwy 1","Big Apple Conv Store/CITGO Station","Belfast","ME","04915","BUS","23"
"334","BFX","Buffalo (Exchange St), New York","75 Exchange Street","","Buffalo","NY","14203","RAIL","36"
"335","BGP","Big Rapids, Michigan","14342 Northland Dr.","Ferris State Fitness Center","Big Rapids","MI","49307-2373","BUS","26"
"336","BHM","Birmingham, Alabama","1819 Morris Ave.","","Birmingham","AL","35203-3109","RAIL","01"
"337","BIN","Berlin, New Hampshire","318 Glen Ave","Irving Mainway","Berlin","NH","03570-1900","BUS","33"
"339","BKY","Berkeley, California","University Ave. and Third St.","Underneath Overpass","Berkeley","CA","94710","RAIL","06"
"340","BLD","Boulder, Colorado","30th & Diagonal Highway","BP/Amoco Gas Station","Boulder","CO","80302","BUS","08"
"341","BLF","Bellows Falls, Vermont","54 Depot St","","Bellows Falls","VT","05101-1356","RAIL","50"
"342","BMM","Birmingham, Michigan","449 South Eton St.","","Birmingham","MI","48009-6573","RAIL","26"
"343","BMT","Beaumont, Texas","2555 W. Cedar Street","","Beaumont","TX","77704","RAIL","48"
"344","BNC","Burlington, North Carolina","101 North Main Street","","Burlington","NC","27217","RAIL","37"
"345","BNG","Bingen-White Salmon, Washington","Hwy 14 and Walnut St.","","Bingen","WA","98605","RAIL","53"
"346","BNL","Bloomington-Normal, Illinois","100 East Parkinson St.","","Normal","IL","61761-3015","RAIL","17"
"347","BNS","Burns, Oregon","63 N. Buena Vista","Figaro's Italian Kitchen","Burns","OR","97720","BUS","41"
"348","BOI","Boise, Idaho","1212 West Bannock St.","Greyhound Station","Boise","ID","83702-5619","BUS","16"
"349","BON","Boston (North Station), Massachusetts","100 Legends Way"," 126 Causeway Street","Boston","MA","02114-1300","RAIL","25"
"350","BOS","Boston (South Station), Massachusetts","2 South Station","Summer St & Atlantic Ave.","Boston","MA","02110","RAIL","25"
"351","BRA","Brattleboro, Vermont","10 Vernon Rd","","Brattleboro","VT","05301-3389","RAIL","50"
"352","BRH","Brookhaven, Mississippi","East Monticello St. and South Railroad Ave.","","Brookhaven","MS","39601","RAIL","28"
"353","BRK","Brunswick, Maine","101 Bath Rd.","Mobil Mart/Puffin Shop","Brunswick","ME","04011-2214","BUS","23"
"354","BRL","Burlington, Iowa","300 South Main Street","","Burlington","IA","52601","RAIL","19"
"355","BRO","Browning, Montana","Heart Butte Rd and Depot Rd.","","Browning","MT","59417","RAIL","30"
"356","BRP","Bridgeport, Connecticut","525 Water St.","Metro North Station","Bridgeport","CT","06604-4315","RAIL","09"
"357","BSV","Brownsville, Texas","1134 E. St. Charles Street","","Brownsville","TX","78520-5042","BUS","48"
"358","BTL","Battle Creek, Michigan","104 Capital Ave. S.W.","","Battle Creek","MI","49017-3535","RAIL","26"
"359","BTR","Baton Rouge, Louisiana","1253 Florida St.","","Baton Rouge","LA","70802","BUS","22"
"360","BUF","Buffalo (Depew), New York","55 Dick Road","","Depew","NY","14043","RAIL","36"
"361","BUL","Buellton, California","238 E Highway 246","Burger King Restaurant","Buellton","CA","93427","BUS","06"
"362","BUR","Burbank (Airport), California","3750 Empire Avenue","","Burbank","CA","91505","RAIL","06"
"364","BWI","BWI Rail Station at Thurgood Marshall Airport, Mar","7 Amtrak Way","BWI Thurgood Marshall Airport","BWI Airport","MD","21240-0642","RAIL","24"
"365","BWW","Brewster, Washington","405 Highway 97","Triangle Texaco","Brewster","WA","98812","BUS","53"
"366","BYC","Boyne City, Michigan","1000 East Division St.","McDonalds's Restaurant","Boyne City","MI","49712-9609","BUS","26"
"368","BYN","Bryan, Ohio","Page and Lynn Street","","Bryan","OH","43506","RAIL","39"
"369","CAM","Camden, South Carolina","1060 West Dekalb Street","","Camden","SC","29020","RAIL","45"
"370","CAS","Casper, Wyoming","123 West E St.","Parkway Plaza Hotel","Casper","WY","82601-1818","BUS","56"
"371","CAY","Conway, New Hampshire","392 West Main St.","First Stop Market & Deli","Conway","NH","03818","BUS","33"
"372","CBO","Cannon Beach, Oregon","1170 South Hemlock Street","Family Market","Cannon Beach","OR","97110","BUS","41"
"373","CBR","Cleburne, Texas","206 North Border St.","Cleburne Intermodal Depot","Cleburne","TX","76031-4236","RAIL","48"
"374","CBS","Columbus, Wisconsin","359 North Ludington Street","","Columbus","WI","53925","RAIL","55"
"375","CBY","Coos Bay, Oregon","275 N. Broadway","Porter Stages Lines Bus Station","Coos Bay","OR","97420","BUS","41"
"376","CDL","Carbondale, Illinois","401 South Illinois St.","","Carbondale","IL","62901","RAIL","17"
"377","CDN","Camden/Rockport, Maine","234 Park St.","Maritime Farms","Rockport","ME","04856-5508","BUS","23"
"378","CEN","Centralia, Illinois","108 East Broadway","","Centralia","IL","62801-3272","RAIL","17"
"379","CFX","Colfax, Washington","610 South Main St.","Ace Hardware","Colfax","WA","99111","BUS","53"
"380","CHI","Chicago (Union Station), Illinois","225 South Canal Street","","Chicago","IL","60606","RAIL","17"
"381","CHM","Champaign-Urbana, Illlinois","45 East University Ave.","2nd floor","Champaign","IL","61820-4046","RAIL","17"
"382","CHS","Charleston, South Carolina","4565 Gaynor Avenue","","North Charleston","SC","29405","RAIL","45"
"383","CHW","Charleston, West Virginia","350 MacCorkle Avenue - Southeast","","Charleston","WV","25314","RAIL","54"
"384","CHY","Cheyenne, Wyoming","222 Deming Drive","Union Bus Station","Cheyenne","WY","82007","BUS","56"
"385","CIC","Chico, California","West 5th and Orange Streets","","Chico","CA","95926","RAIL","06"
"386","CIN","Cincinnati, Ohio","1301 Western Ave.","Cincinnati Union Terminal","Cincinnati","OH","45203-1130","RAIL","39"
"388","CLA","Claremont, New Hampshire","Plains Rd. and Maple Ave.","","Claremont","NH","03743","RAIL","33"
"389","CLB","Columbia, South Carolina","850 Pulaski Street","","Columbia","SC","29201","RAIL","45"
"390","CLC","Cadillac, Michigan","1202 North Mitchell St.","Cadillac/ Wexford Transit","Cadillac","MI","49601-1261","BUS","26"
"391","CLE","Cleveland, Ohio","200 Cleveland Memorial Shoreway","","Cleveland","OH","44114","RAIL","39"
"392","CLF","Clifton Forge, Virginia","400 Ridgeway Street","","Clifton Forge","VA","24422","RAIL","51"
"393","CLM","Claremont, California","200 West First St.","Metrolink Station","Claremont","CA","91711","BUS","06"
"394","CLP","Culpeper, Virginia","109 South Commerce Street","","Culpeper","VA","22701","RAIL","51"
"395","CLT","Charlotte, North Carolina","1914 North Tryon St.","","Charlotte","NC","28206","RAIL","37"
"396","CLV","Cloverdale, California","Citrus Fair Road and Asti Road","Cloverdale Depot Park-N-Ride Lot","Cloverdale","CA","95425","BUS","06"
"397","CML","Camarillo, California (Trains)","30 Lewis Road","","Camarillo","CA","93010","RAIL","06"
"398","CMO","Chemult, Oregon","Palmer/Kranz Street and Depot Street","Off Highway 97, center of town","Chemult","OR","97731","RAIL","41"
"399","CNG","Corning, California","1081 Solano Street","Intermodal Terminal at 3rd Street","Corning","CA","96021-3235","BUS","06"
"400","LVS","Las Vegas (Downtown), Nevada","200 South Main St.","Greyhound Station","Las Vegas","NV","89101-6357","BUS","32"
"401","LVW","Longview, Texas","905 Pacific Ave.","","Longview","TX","75602","RAIL","48"
